project_id,subject_area,review_board,research_area
273241,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
273389,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
273393,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
273495,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
273567,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
373608,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
374794,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
375129,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
375253,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
388747,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
455540,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
462239,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
812229,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
818879,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5397027,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5470521,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5470629,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5470729,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5471048,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5471076,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5471482,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5471805,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5472132,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5472160,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5482556,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5482652,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5482962,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5483172,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5483235,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5483434,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5483639,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5483726,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5483940,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5483958,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5484048,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5484340,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5484428,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5484447,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5484543,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5484884,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5485142,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5485201,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5485239,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5485271,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5485348,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5485447,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5485539,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5485912,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5485966,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5485988,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5486087,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5486111,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5486123,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5486135,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5486242,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5486276,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5486332,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5486356,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
12447501,Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
